color,team name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken
blue,BOISE STATE,349,1207,3,3,4,7,8,2,42.86,1356,149.71,7853,5693,2160,64,191,1682,1018,664,11,58,104.06,84.71,957,702,81,1612926,381.47,463.68,196.41,583.96,389.8,67.82,25.52,302,739.5,302.08,614.82,426.75,417.76,377.17,246.66,143.89,158.71,2,1
orange,UTD,349,933,2,2,3,8,7,3,25,1161,133.58,6752,4199,2553,50,215,1172,531,641,6,54,148.15,64.61,761,748,67,1522462,468.38,420.41,151.75,583.53,391.88,65.12,31.61,300,712.66,327.87,728.52,312.01,547.97,313.09,179.47,147.48,166.87,1,2
blue,BOISE STATE,357,1438,4,3,6,9,8,1,44.44,1239,137.96,6905,4559,2346,54,204,1284,600,684,8,61,117.84,97.75,1290,841,198,1594571,415.98,439.03,196.62,583.14,403.57,64.92,24.09,280,773.78,277.86,715.19,336.45,555.7,293.16,202.77,143.46,187.7,1,6
orange,UTD,357,862,1,1,4,8,9,4,12.5,1238,145.76,7386,4989,2397,63,206,1904,1092,812,16,68,126.7,73.9,1027,1370,523,1587820,442.71,434.98,189.28,610.94,412.91,43.13,32.98,344,725.86,341.1,652.37,414.6,460.55,350.92,255.5,137.04,143.66,6,1
blue,BOISE STATE,357,1438,4,3,6,9,8,1,44.44,1239,137.96,6905,4559,2346,54,204,1284,600,684,8,61,117.84,97.75,1290,841,198,1594571,415.98,439.03,196.62,583.14,403.57,64.92,24.09,280,773.78,277.86,715.19,336.45,555.7,293.16,202.77,143.46,187.7,1,6
orange,UTD,357,862,1,1,4,8,9,4,12.5,1238,145.76,7386,4989,2397,63,206,1904,1092,812,16,68,126.7,73.9,1027,1370,523,1587820,442.71,434.98,189.28,610.94,412.91,43.13,32.98,344,725.86,341.1,652.37,414.6,460.55,350.92,255.5,137.04,143.66,6,1
blue,GCU,339,666,1,1,2,6,7,2,16.67,1256,137.43,6858,4632,2226,54,187,1701,957,744,11,59,110.65,83.57,805,802,149,1476579,449.95,401.79,147.27,578.28,360.35,60.4,23.32,193,722.85,276.17,587.96,411.06,413.89,347.65,237.48,140.92,129.94,5,6
orange,UTD,339,937,2,2,2,7,6,1,28.57,1104,149.55,6051,4029,2022,48,178,1463,842,621,9,53,116.04,88.32,598,597,7,1409083,495.19,377.56,128.48,550.06,397.5,53.66,26.55,269,670.71,330.53,657.28,343.96,490.55,307.67,203,149.06,194.05,6,5
blue,GUC,362,744,1,0,4,6,9,5,16.67,1213,152.12,7361,4967,2394,61,213,1611,957,654,11,57,136.93,102.76,950,1102,149,1575501,492.99,417.21,169.21,593.89,416.84,68.68,23.49,175,776.21,303.2,722.19,357.22,523.59,372.27,183.55,142.8,161.58,1,2
orange,UTD,362,1491,5,4,4,9,6,1,55.56,1119,150.5,6935,4885,2050,60,189,1484,897,587,11,51,150.18,94.02,450,724,26,1537443,496.6,459.22,125.49,562.96,432.34,86.01,23.65,244,759.49,321.82,710.97,370.33,488.48,378.76,214.07,147.45,171.96,2,1
blue,GCU,340,620,2,0,1,5,5,1,40,1180,144.86,6603,4193,2410,49,206,1255,810,445,11,38,108.68,82.17,907,726,294,1438471,491.17,383.79,134.57,592.8,345.96,70.76,26.77,206,733.28,276.25,729.45,280.07,547.25,317.57,144.71,116.3,187.74,1,4
orange,UTD,340,759,1,1,3,5,5,2,20,1247,156.67,6894,4957,1937,61,169,2208,1430,778,18,68,103.48,91.32,705,756,182,1461059,479.42,405.85,133.36,580.19,373.3,65.14,27.16,282,696.1,322.54,527.29,491.35,351.72,382.15,284.77,172.48,137.66,4,1
blue,GCU,348,818,1,1,3,6,6,3,16.67,1321,149,7602,5230,2372,64,201,1787,1103,684,15,55,92.36,92.86,967,1111,312,1544726,444.1,407.64,185.07,596.01,380.58,60.23,24.14,209,716.12,320.69,646.66,390.14,439.03,383.19,214.6,152.27,156.05,2,2
orange,UTD,348,1133,3,3,3,6,6,1,50,1182,139.71,6694,4523,2171,52,198,1506,843,663,10,60,116.35,76.26,510,617,123,1490063,468.69,439.37,128.8,557.69,424.74,54.45,26.45,274,740.15,296.72,660.48,376.38,487.58,338.13,211.17,131.03,171.46,2,2
blue,OTTAWA,355,944,1,1,7,5,12,4,20,1170,145.56,6624,4659,1965,54,178,1009,481,528,6,45,102.9,110.49,856,710,119,1462657,530.01,387.17,136.57,588.12,421.18,44.46,26.08,215,715.79,337.97,773.78,279.99,595.33,295.56,162.89,111.27,218.9,5,3
orange,CAL POLY,355,1329,4,3,4,12,5,1,33.33,1293,151.62,7723,5703,2020,69,170,1880,1197,683,15,61,108.37,99.17,1229,1168,316,1582054,423.22,416.15,208.43,602.56,393.59,51.67,21.23,219,828.52,219.3,601.71,446.11,436.28,344.48,267.06,164.62,110.22,3,5
blue,OTTAWA,357,1261,2,2,6,13,11,3,15.38,1231,144.75,7183,4971,2212,57,194,1695,918,777,10,67,104.03,75.05,598,681,80,1472935,535.57,402.97,123.32,597.32,393.48,71.06,23.51,213,782.19,279.66,666.03,395.83,487.03,360.21,214.61,137.91,159.8,3,3
orange,CAL POLY,357,1673,3,3,10,11,13,2,27.27,1194,152.77,6983,5046,1937,62,177,1692,1127,565,13,51,120.45,98.89,791,935,122,1508895,517.02,377.32,167.49,609.78,379.23,72.8,22.86,209,786.33,275.49,743.14,318.69,573.08,297.13,191.62,145.22,171.96,3,3
